#,Building,Images,Height,Floors,Building type,Year,Status
"2,843",Queensview Apartments XIV,,123 ft,14,high-rise building,1951,
"2,844",Queensview Apartments XIII,,123 ft,14,high-rise building,1951,
"2,845",Queensview Apartments XII,,123 ft,14,high-rise building,1951,
"2,846",Queensview Apartments XI,,123 ft,14,high-rise building,1951,
"2,847",Queensview Apartments X,,123 ft,14,high-rise building,1951,
"2,848",Queensview Apartments VIII,,123 ft,14,high-rise building,1951,
"2,849",Queensview Apartments VII,,123 ft,14,high-rise building,1951,
"2,850",Queensview Apartments VI,,123 ft,14,high-rise building,1951,
"2,851",Queensview Apartments V,,123 ft,14,high-rise building,1951,
"2,852",Queensview Apartments IX,,123 ft,14,high-rise building,1951,
"2,853",Queensview Apartments IV,,123 ft,14,high-rise building,1951,
"2,854",Queensview Apartments III,,123 ft,14,high-rise building,1951,
"2,855",Queensview Apartments II,,123 ft,14,high-rise building,1951,
"2,856",Rangel Houses VII,,123 ft,14,high-rise building,1951,
"2,857",Rangel Houses VI,,123 ft,14,high-rise building,1951,
"2,858",Rangel Houses V,,123 ft,14,high-rise building,1951,
"2,859",Rangel Houses I,,123 ft,14,high-rise building,1951,
"2,860",Hester-Allen Houses,,123 ft,14,high-rise building,1974,
"2,861",600 Columbus Avenue,1,123 ft,14,high-rise building,1989,
"2,862",Queensview West Apartments I,,123 ft,14,high-rise building,1958,
"2,863",Queensview Apartments I,,123 ft,14,high-rise building,1951,
"2,864",Coney Island Houses II,,123 ft,14,high-rise building,1957,
"2,865",Coney Island Houses III,,123 ft,14,high-rise building,1957,
"2,866",Coney Island Houses IV,,123 ft,14,high-rise building,1957,
"2,867",Coney Island Houses V,,123 ft,14,high-rise building,1957,
"2,868",Coney Island Houses I,,123 ft,14,high-rise building,1957,
"2,869",Echelon Condominium,5,123 ft,13,high-rise building,2007,
"2,870",1541 Metropolitan Avenue,,123 ft,13,high-rise building,1939,
"2,871",Shorefront Towers,,123 ft,13,high-rise building,1997,
"2,872",One Hunters Point,12,123 ft,12,high-rise building,2009,
"2,873",31 East 12th Street,3,123 ft,12,high-rise building,1930,
"2,874",139 East 94th Street,,123 ft,12,high-rise building,1928,
"2,875",Baltic Tower,,123 ft,11,high-rise building,2008,
"2,876",1065 Lexington Avenue,,123 ft,11,high-rise building,1920,
"2,877",The Sherwood,2,123 ft,11,high-rise building,1924,
"2,878",Parc Hotel,,123 ft,12,high-rise building,2014,
"2,879",Ramada Flushing Queens,,123 ft,12,high-rise building,2014,
"2,880",Livmor Condominium,1,123 ft,12,high-rise building,2010,
"2,881",40 Oceana Drive West,,123 ft,12,high-rise building,2003,
"2,882",Excel Tower Condo,,122 ft,13,high-rise building,2008,
"2,883",Boulevard Towers II,,122 ft,14,high-rise building,1967,
"2,884",Cabrini Terrace Cooperative Apartments,,122 ft,15,high-rise building,1955,
"2,885",Sedgwick Houses VII,,122 ft,14,high-rise building,1951,
"2,886",Sedgwick Houses VI,,122 ft,14,high-rise building,1951,
"2,887",Sedgwick Houses IV,,122 ft,14,high-rise building,1951,
"2,888",Sedgwick Houses I,,122 ft,14,high-rise building,1951,
"2,889",Tower Gardens II,,122 ft,14,high-rise building,1961,
"2,890",Tower Gardens I,,122 ft,14,high-rise building,1961,
"2,891",Windsor South,,122 ft,14,high-rise building,1962,
"2,892",Boulevard Towers I,,122 ft,14,high-rise building,1967,
"2,893",1851 Sedgwick Avenue,,122 ft,14,high-rise building,1963,
"2,894",Highbridge Gardens I,,122 ft,14,high-rise building,1954,
"2,895",Highbridge Gardens VI,,122 ft,14,high-rise building,1954,
"2,896",Highbridge Gardens V,,122 ft,14,high-rise building,1954,
"2,897",Highbridge Gardens IV,,122 ft,14,high-rise building,1954,
"2,898",Highbridge Gardens II,,122 ft,14,high-rise building,1954,
"2,899",Highbridge Gardens III,,122 ft,14,high-rise building,1954,
"2,900",3424 Kingsbridge Avenue,,122 ft,14,high-rise building,1962,
"2,901",Farragut Houses X,,122 ft,14,high-rise building,1952,
"2,902",Farragut Houses VIII,,122 ft,14,high-rise building,1952,
"2,903",Farragut Houses VII,,122 ft,14,high-rise building,1952,
"2,904",Farragut Houses VI,,122 ft,14,high-rise building,1952,
"2,905",Farragut Houses V,,122 ft,14,high-rise building,1952,
"2,906",Farragut Houses IX,,122 ft,14,high-rise building,1952,
"2,907",Farragut Houses IV,,122 ft,14,high-rise building,1952,
"2,908",Farragut Houses III,,122 ft,14,high-rise building,1952,
"2,909",Farragut Houses II,,122 ft,14,high-rise building,1952,
"2,910",Farragut Houses I,,122 ft,14,high-rise building,1952,
"2,911",1970 East Tremont Avenue,,122 ft,13,high-rise building,1939,
"2,912",1 Metropolitan Oval,1,122 ft,13,high-rise building,1939,
"2,913",2090 East Tremont Avenue,,122 ft,13,high-rise building,1939,
"2,914",1605 Metropolitan Avenue,,122 ft,13,high-rise building,1939,
"2,915",1705 Purdy Street,,122 ft,13,high-rise building,1939,
"2,916",1604 Metropolitan Avenue,,122 ft,13,high-rise building,1939,
"2,917",1575 Odell Street,,122 ft,13,high-rise building,1939,
"2,918",22 Metropolitan Oval,1,122 ft,13,high-rise building,1939,
"2,919",2061 Saint Raymond Avenue,,122 ft,13,high-rise building,1939,
"2,920",1430 Parkchester Road,,122 ft,13,high-rise building,1939,
"2,921",1925 McGraw Avenue,1,122 ft,13,high-rise building,1939,
"2,922",1919 McGraw Avenue,,122 ft,13,high-rise building,1939,
"2,923",Hutchinson Parkway Apartments,,122 ft,13,high-rise building,1961,
"2,924",Riverdale on the Hudson,,122 ft,13,high-rise building,1968,
"2,925",117 East 175th Street,,122 ft,13,high-rise building,1948,
"2,926",52 Mulberry Street,3,122 ft,12,high-rise building,2008,
"2,927",169 East 91st Street,,122 ft,12,high-rise building,1985,
"2,928",Manhattan Tower Condominium,,122 ft,11,high-rise building,-,
"2,929",EVEN Hotel Brooklyn,3,122 ft,12,high-rise building,2016,
"2,930",Fordham Towers,,121 ft,15,high-rise building,1966,
"2,931",Forest Houses XII,,121 ft,14,high-rise building,1956,
"2,932",Forest Houses XI,,121 ft,14,high-rise building,1956,
"2,933",Forest Houses X,,121 ft,14,high-rise building,1956,
"2,934",Forest Houses V,,121 ft,14,high-rise building,1956,
"2,935",Forest Houses III,,121 ft,14,high-rise building,1956,
"2,936",Forest Houses II,,121 ft,14,high-rise building,1956,
"2,937",Forest Houses I,,121 ft,14,high-rise building,1956,
"2,938",Bronx River Houses IX,,121 ft,14,high-rise building,1951,
"2,939",Bronx River Houses VI,,121 ft,14,high-rise building,1951,
"2,940",Bronx River Houses V,,121 ft,14,high-rise building,1951,
"2,941",Bronx River Houses IV,,121 ft,14,high-rise building,1951,
"2,942",Bronx River Houses III,,121 ft,14,high-rise building,1951,
"2,943",Haber Houses I,,121 ft,14,high-rise building,1965,
"2,944",Haber Houses II,,121 ft,14,high-rise building,1965,
"2,945",Haber Houses III,,121 ft,14,high-rise building,1965,
"2,946",1595 Unionport Road,,121 ft,13,high-rise building,1939,
"2,947",3660 Oxford Avenue,,121 ft,13,high-rise building,1965,
"2,948",The Woodlands Apartments,,121 ft,13,high-rise building,1959,
"2,949",Strivers Gardens,1,121 ft,12,high-rise building,2005,
"2,950",1579 Metropolitan Avenue,,121 ft,12,high-rise building,1939,
"2,951",Madison Tower,5,121 ft,12,high-rise building,2003,
"2,952",128 Fort Washington Avenue,,121 ft,11,high-rise building,1925,
"2,953",The Dwyer,12,121 ft,10,high-rise building,2008,
"2,954",Webster Commons A,,121 ft,13,high-rise building,2015,
"2,955",Webster Commons C,,121 ft,12,high-rise building,2014,
"2,956",430 West 15th Street,,121 ft,7,open-air structure,1950,
"2,957",Harlem Hospital New Patient Pavilion,1,121 ft,6,high-rise building,2012,
"2,958",Chez 66,1,121 ft,11,high-rise building,1921,
"2,959",927 Courtlandt Avenue,,121 ft,12,high-rise building,2013,
"2,960",Jones LES,,120 ft,13,high-rise building,2015,
"2,961",RenwickModern,18,120 ft,12,high-rise building,2013,
"2,962",508 West 24th Street,9,120 ft,11,high-rise building,2014,
"2,963",Hudson River Dioramas,4,120 ft,11,high-rise building,1999,
"2,964",Millan House,,120 ft,11,high-rise building,1931,
"2,965",505 West 19th Street II,3,120 ft,10,high-rise building,2015,
"2,966",505 West 19th Street I,4,120 ft,10,high-rise building,2015,
"2,967",Dyckman Houses IV,,120 ft,14,high-rise building,1951,
"2,968",Dyckman Houses I,,120 ft,14,high-rise building,1951,
"2,969",Dyckman Houses II,,120 ft,14,high-rise building,1951,
"2,970","Albany Houses II, Building VIII",,120 ft,14,high-rise building,1957,
"2,971",Bronx River Houses VIII,,120 ft,14,high-rise building,1951,
"2,972",Bronx River Houses II,,120 ft,14,high-rise building,1951,
"2,973",Bronx River Houses I,,120 ft,14,high-rise building,1951,
"2,974","Roosevelt Houses II, Building VII",,120 ft,14,high-rise building,1966,
"2,975",Williams Plaza II,1,120 ft,14,high-rise building,1964,
"2,976",Williams Plaza V,,120 ft,14,high-rise building,1964,
"2,977",Gun Hill Houses VI,,120 ft,14,high-rise building,1950,
"2,978",Gun Hill Houses IV,,120 ft,14,high-rise building,1950,
"2,979","Albany Houses I, Building I",,120 ft,14,high-rise building,1950,
"2,980",Saint Nicholas Houses XIII,,120 ft,14,high-rise building,1954,
"2,981",Saint Nicholas Houses XII,,120 ft,14,high-rise building,1954,
"2,982",Saint Nicholas Houses XI,,120 ft,14,high-rise building,1954,
"2,983",Saint Nicholas Houses X,,120 ft,14,high-rise building,1954,
"2,984",Saint Nicholas Houses VIII,,120 ft,14,high-rise building,1954,
"2,985",Saint Nicholas Houses VII,,120 ft,14,high-rise building,1954,
"2,986",Saint Nicholas Houses VI,,120 ft,14,high-rise building,1954,
"2,987",Saint Nicholas Houses V,,120 ft,14,high-rise building,1954,
"2,988",Saint Nicholas Houses IX,,120 ft,14,high-rise building,1954,
"2,989",Saint Nicholas Houses IV,,120 ft,14,high-rise building,1954,
"2,990",Saint Nicholas Houses III,,120 ft,14,high-rise building,1954,
"2,991",Saint Nicholas Houses II,,120 ft,14,high-rise building,1954,
"2,992",Saint Nicholas Houses I,,120 ft,14,high-rise building,1954,
"2,993",277 Gold Street,24,120 ft,13,high-rise building,2010,
"2,994",Gramercy 145,1,120 ft,13,high-rise building,2006,
"2,995",Walton Henwood Apartments,,120 ft,13,high-rise building,2010,
"2,996",Hudson Crossing Apartments,5,120 ft,13,high-rise building,2003,
"2,997",Riverton Houses VII,,120 ft,13,high-rise building,1948,
"2,998",Riverton Houses VI,,120 ft,13,high-rise building,1948,
"2,999",Riverton Houses V,,120 ft,13,high-rise building,1948,
"3,000",Riverton Houses IV,,120 ft,13,high-rise building,1948,
"3,001",Riverton Houses III,,120 ft,13,high-rise building,1948,
"3,002",Riverton Houses II,,120 ft,13,high-rise building,1948,
"3,003",Riverton Houses I,,120 ft,13,high-rise building,1948,
"3,004",211 East 51st Street,2,120 ft,13,high-rise building,1958,
"3,005",SOHA 118,3,120 ft,12,high-rise building,2008,
"3,006",Novo Park Slope,1,120 ft,12,high-rise building,2008,
"3,007",223 West 80th Street,,120 ft,12,high-rise building,2005,
"3,008",Chelsea Club,2,120 ft,12,high-rise building,2006,
"3,009",The NEXUS,,120 ft,12,high-rise building,2006,
"3,010",133 Water Street,1,120 ft,12,high-rise building,2006,
"3,011",224 West 18th Street,6,120 ft,12,high-rise building,2003,
"3,012",Mins Plaza,,120 ft,12,high-rise building,1977,
"3,013",36 Plaza Street East,4,120 ft,12,high-rise building,-,
"3,014",50 Plaza Street East,2,120 ft,12,high-rise building,-,
"3,015",30 East 71st Street,1,120 ft,12,high-rise building,1929,
"3,016",33 East 70th Street,,120 ft,12,high-rise building,1929,
"3,017",35 East 84th Street,,120 ft,12,high-rise building,1922,
"3,018",426 4th Avenue,,120 ft,11,high-rise building,2012,
"3,019",Observatory Place,2,120 ft,11,high-rise building,2008,
"3,020",48 Bond Street,15,120 ft,11,high-rise building,2008,
"3,021",Schermerhorn House,18,120 ft,11,high-rise building,2009,
"3,022",255 Hudson,6,120 ft,11,high-rise building,2006,
"3,023",Dance Theatre Workshop,1,120 ft,11,high-rise building,2002,
"3,024",11 East 68th Street,,120 ft,11,high-rise building,1913,
"3,025",109 West 26th Street,1,120 ft,11,high-rise building,1908,
"3,026",The Archives,10,120 ft,11,high-rise building,1899,
"3,027",The PowerHouse Condominium,12,120 ft,11,high-rise building,1906,
"3,028",125 Central Park North,1,120 ft,11,high-rise building,-,
"3,029",475 Kent Avenue,2,120 ft,11,high-rise building,1934,
"3,030",730 Riverside Drive,,120 ft,11,high-rise building,1920,
"3,031",725 Riverside Drive,,120 ft,11,high-rise building,1912,
"3,032",130 East 67th Street,,120 ft,11,high-rise building,1908,
"3,033",124 East 40th Street,2,120 ft,11,high-rise building,-,
"3,034",40 East 21st Street,1,120 ft,11,high-rise building,1906,
"3,035",40 East 83rd Street,,120 ft,11,high-rise building,1913,
"3,036",43 Fifth Avenue,1,120 ft,11,high-rise building,1905,
"3,037",45 East 82nd Street,,120 ft,11,high-rise building,1913,
"3,038",325 East 41st Street,1,120 ft,11,high-rise building,1929,
"3,039",40 Bond Street,22,120 ft,10,high-rise building,2007,
"3,040",Bridgefront Condominiums,3,120 ft,10,high-rise building,2004,
"3,041",7 Essex Street,,120 ft,10,high-rise building,2003,
"3,042",Hayes Storage Warehouse,,120 ft,10,high-rise building,1900,
"3,043",743 5th Avenue,1,120 ft,10,high-rise building,1915,
"3,044",Hunters Point Plaza,2,120 ft,10,high-rise building,1930,
"3,045",501 West 110th Street,,120 ft,10,high-rise building,1909,
"3,046",545 West 111th Street,,120 ft,10,high-rise building,1909,
"3,047",The Towers,4,120 ft,10,high-rise building,1898,
"3,048",Madonna Residences,2,120 ft,9,high-rise building,1924,
"3,049",Joseph J. and Violet J. Jacobs Building,3,120 ft,8,high-rise building,2002,
"3,050",Webster Commons B,,120 ft,13,high-rise building,2015,
"3,051",3322 Decatur Avenue,,120 ft,13,high-rise building,2012,
"3,052",501 East 161st Street,,120 ft,13,high-rise building,2015,
"3,053",Huis24,,120 ft,12,high-rise building,2017,
"3,054",261 Hudson Street,1,120 ft,12,high-rise building,2017,
"3,055",CL Tower,,120 ft,12,high-rise building,2011,
"3,056",The Adele,,120 ft,12,high-rise building,2014,
"3,057",459 West 18th Street,33,120 ft,11,high-rise building,2008,
"3,058",Four Points by Sheraton Long Island City/Queensboro Bridge,,120 ft,11,high-rise building,2011,
"3,059",345meatpacking,2,120 ft,11,high-rise building,2013,
"3,060",456 West 19th Street,24,120 ft,11,high-rise building,2010,
"3,061",Gateway Condominium,,120 ft,11,high-rise building,2011,
"3,062",119 Court Street,3,120 ft,10,high-rise building,2006,
"3,063",45-55 Pearson Street,,120 ft,10,high-rise building,1924,
"3,064",Bruckner by the Bridge III,,120 ft,13,high-rise building,2011,
"3,065",260 West 26th Street,,120 ft,12,high-rise building,2013,
"3,066",Holiday Inn Express New York - Manhattan West Side,,120 ft,11,high-rise building,2013,
"3,067",205 Water Street,,120 ft,12,high-rise building,2012,
"3,068",Comfort Inn Ludlow Street,,120 ft,11,high-rise building,2010,
"3,069",119 & Third,8,120 ft,11,high-rise building,2009,
"3,070",Park Slope Court,,120 ft,10,high-rise building,2009,
"3,071",221 8th Avenue,1,120 ft,13,high-rise building,2000,
"3,072",370 West 30th Street,3,120 ft,13,high-rise building,1989,
"3,073","Albany Houses I, Building VI",,120 ft,14,high-rise building,1950,
"3,074",The American Thread Building,3,119 ft,11,high-rise building,1896,
"3,075",Archstone Key West,3,119 ft,12,high-rise building,1988,
"3,076","Roosevelt Houses I, Building IV",,119 ft,14,high-rise building,1964,
"3,077",Gun Hill Houses V,,119 ft,14,high-rise building,1950,
"3,078",Gun Hill Houses III,,119 ft,14,high-rise building,1950,
"3,079",Gun Hill Houses I,,119 ft,14,high-rise building,1950,
"3,080",270 East Burnside Avenue,,119 ft,13,high-rise building,2008,
"3,081",Glen Briar Apartments,,119 ft,13,high-rise building,1953,
"3,082",River House,,119 ft,12,high-rise building,1952,
"3,083",The Blackstone Apartments,,119 ft,12,high-rise building,1952,
"3,084",304 Spring Street,1,119 ft,11,high-rise building,2006,
"3,085",The Porter House,5,119 ft,10,high-rise building,2003,
"3,086",Melrose Center Building,,119 ft,10,high-rise building,1930,
"3,087",Village Green West,,119 ft,12,high-rise building,2015,
"3,088",2205 3rd Avenue,,119 ft,12,high-rise building,2012,
"3,089",Baltic Park Slope,5,119 ft,11,high-rise building,2017,
"3,090",15 Renwick,8,119 ft,11,high-rise building,2015,
"3,091",The Balton,,119 ft,12,high-rise building,2011,
"3,092",165 William Street,2,119 ft,10,high-rise building,1908,
"3,093",435 Hudson Street,3,118 ft,9,high-rise building,1937,
"3,094",Parkside Houses V,,118 ft,14,high-rise building,1951,
"3,095",Parkside Houses IV,,118 ft,14,high-rise building,1951,
"3,096",Schermerhorn Court,3,118 ft,13,high-rise building,2007,
"3,097",81 Metropolitan Oval,2,118 ft,13,high-rise building,1939,
"3,098",3915 Orloff Avenue,,118 ft,13,high-rise building,1957,
"3,099",St Vincents Hospital Staff Residence,4,118 ft,13,high-rise building,1941,
"3,100",The Solita Soho Hotel,3,118 ft,12,high-rise building,2004,
"3,101",600 6th Avenue,1,118 ft,10,high-rise building,1961,
"3,102",601 West 160th Street,,118 ft,10,high-rise building,1913,
"3,103",The Columbus,,118 ft,10,high-rise building,1909,
"3,104",Scheuer House of Brighton Beach,,117 ft,13,high-rise building,1983,
"3,105",508 East 163rd Street,,117 ft,13,high-rise building,2011,
"3,106",Clinton Hill Apartments VI,,117 ft,13,high-rise building,1943,
"3,107",Bathgate Avenue Apartments,,117 ft,13,high-rise building,2008,
"3,108",Jewish Hospital Nurses Residences,,117 ft,13,high-rise building,1968,
"3,109",Surfside Park Apartments I,,117 ft,13,high-rise building,1963,
"3,110",Surfside Park Apartments III,1,117 ft,13,high-rise building,1963,
